Source,Destination,Protocol
192.168.1.105,198.189.255.75,TCP
192.168.1.105,199.184.215.2,HTTP
192.168.1.105,199.184.215.2,TCP
192.168.1.105,207.46.232.182,NTP
192.168.1.105,212.227.96.110,HTTP/XML
192.168.1.105,212.227.96.110,TCP
192.168.1.105,212.227.97.133,HTTP/XML
192.168.1.105,212.227.97.133,TCP
192.168.1.105,212.4.138.232,TCP
192.168.1.105,212.96.161.238,HTTP
192.168.1.105,212.96.161.238,TCP
192.168.1.105,216.218.224.233,HTTP
192.168.1.105,216.218.224.233,TCP
192.168.1.105,216.218.224.235,HTTP
192.168.1.105,216.218.224.235,TCP
192.168.1.105,217.135.32.99,HTTP
192.168.1.105,217.135.32.99,TCP
192.168.1.105,224.0.0.22,IGMPv3
192.168.1.105,224.0.0.251,MDNS
192.168.1.105,224.0.0.252,LLMNR
192.168.1.105,239.255.255.250,SSDP
192.168.1.105,239.255.255.250,UDP
192.168.1.105,255.255.255.255,DHCP
192.168.1.105,38.103.37.243,HTTP
192.168.1.105,38.103.37.243,TCP
192.168.1.105,65.120.238.2,HTTP
192.168.1.105,65.120.238.2,TCP
192.168.1.105,65.54.95.192,HTTP
192.168.1.105,65.54.95.192,TCP
192.168.1.105,65.54.95.203,HTTP
192.168.1.105,65.54.95.203,TCP
192.168.1.105,65.55.119.90,HTTP
192.168.1.105,65.55.119.90,TCP
192.168.1.105,65.55.184.155,HTTP
192.168.1.105,65.55.184.155,TCP
192.168.1.105,65.55.184.155,TLSv1
192.168.1.105,66.102.7.102,HTTP
192.168.1.105,66.102.7.102,TCP
192.168.1.105,68.216.79.113,TCP
192.168.1.105,74.125.19.101,HTTP
192.168.1.105,74.125.19.101,TCP
192.168.1.105,74.125.19.102,HTTP
192.168.1.105,74.125.19.102,TCP
192.168.1.105,87.106.1.47,HTTP/XML
192.168.1.105,87.106.1.47,TCP
192.168.1.105,87.106.1.89,HTTP/XML
192.168.1.105,87.106.1.89,TCP
192.168.1.105,87.106.12.47,HTTP/XML
192.168.1.105,87.106.12.47,TCP
192.168.1.105,87.106.12.77,HTTP/XML
192.168.1.105,87.106.12.77,TCP
192.168.1.105,87.106.13.61,TCP
192.168.1.105,87.106.13.62,HTTP/XML
192.168.1.105,87.106.13.62,TCP
192.168.1.105,87.106.66.233,HTTP/XML
192.168.1.105,87.106.66.233,TCP
192.168.1.105,87.106.9.29,HTTP/XML
192.168.1.105,87.106.9.29,TCP
192.168.1.105,91.189.94.4,NTP
192.168.1.2,128.241.217.8,HTTP
192.168.1.2,128.241.217.8,TCP
192.168.1.2,129.6.15.28,TCP
192.168.1.2,129.6.15.29,TCP
192.168.1.2,130.59.10.36,HTTP
192.168.1.2,130.59.10.36,TCP
192.168.1.2,132.163.4.103,TCP
192.168.1.2,192.101.21.1,NTP
192.168.1.2,192.168.1.1,HTTP
192.168.1.2,192.168.1.1,TCP
192.168.1.2,192.168.15.1,TCP
192.168.1.2,192.168.16.1,TCP
192.168.1.2,192.221.100.126,HTTP
192.168.1.2,192.221.100.126,TCP
192.168.1.2,192.43.244.18,NTP
192.168.1.2,193.1.193.64,HTTP
192.168.1.2,193.1.193.64,TCP
192.168.1.2,199.7.48.72,HTTP
192.168.1.2,199.7.48.72,TCP
192.168.1.2,199.7.50.72,HTTP
192.168.1.2,199.7.50.72,TCP
192.168.1.2,199.7.57.72,OCSP
192.168.1.2,199.7.57.72,TCP
192.168.1.2,199.7.58.72,OCSP
192.168.1.2,199.7.58.72,TCP
192.168.1.2,207.46.148.31,HTTP
192.168.1.2,207.46.148.31,TCP
192.168.1.2,207.46.197.32,NTP
192.168.1.2,207.46.21.123,HTTP
192.168.1.2,207.46.21.123,TCP
192.168.1.2,207.46.21.123,TLSv1
192.168.1.2,207.46.21.124,HTTP
192.168.1.2,207.46.21.124,TCP
192.168.1.2,207.46.232.182,NTP
192.168.1.2,208.111.148.194,HTTP
192.168.1.2,208.111.148.194,TCP
192.168.1.2,208.111.157.124,HTTP
192.168.1.2,208.111.157.124,TCP
192.168.1.2,208.111.157.163,HTTP
192.168.1.2,208.111.157.163,TCP
192.168.1.2,208.117.252.165,HTTP
192.168.1.2,208.117.252.165,TCP
192.168.1.2,208.97.132.223,TCP
192.168.1.2,208.97.132.223,TLSv1
192.168.1.2,209.107.207.40,HTTP
192.168.1.2,209.107.207.40,TCP
192.168.1.2,209.107.207.81,HTTP
192.168.1.2,209.107.207.81,TCP
192.168.1.2,212.227.96.110,HTTP/XML
192.168.1.2,212.227.96.110,TCP
192.168.1.2,212.227.97.133,HTTP/XML
192.168.1.2,212.227.97.133,TCP
192.168.1.2,212.4.138.232,TCP
192.168.1.2,212.58.226.142,HTTP
192.168.1.2,212.58.226.142,TCP
192.168.1.2,212.96.161.238,HTTP
192.168.1.2,212.96.161.238,TCP
192.168.1.2,216.218.224.241,HTTP
192.168.1.2,216.218.224.241,TCP
192.168.1.2,38.103.37.243,HTTP
192.168.1.2,38.103.37.243,TCP
192.168.1.2,4.2.2.2,DNS
